Sub Category,Price_mod,Discount_mod,Rating_mod,No_Reviews,buyingProspect
1,56.99,0.0,4.3,265.0,1139.5
1,159.99,0.0,5.0,1.0,5.0
1,44.99,0.0,4.1,441.0,1808.1
1,39.99,0.0,4.7,9459.0,44457.3
1,59.99,0.0,4.5,758.0,3411.0
1,59.99,0.0,4.4,369.0,1623.6000000000001
1,74.99,0.0,4.7,2241.0,10532.7
1,59.99,0.0,4.4,232.0,1020.8000000000001
1,29.99,0.0,4.4,1679.0,7387.6
1,159.99,0.0,5.0,2.0,10.0
1,62.99,0.0,4.0,357.0,1428.0
1,299.99,0.0,3.0,1.0,3.0
1,54.99,0.0,4.7,273.0,1283.1000000000001
1,54.99,0.0,4.6,369.0,1697.3999999999999
1,89.99,0.0,4.6,133.0,611.8
1,59.99,0.0,4.5,452.0,2034.0
1,89.99,0.0,0.0,706.2771474878444,0.0
1,49.99,0.0,4.2,85.0,357.0
1,159.99,0.0,1.5,2.0,3.0
1,89.99,0.0,0.0,706.2771474878444,0.0
1,99.99,0.0,3.6,5.0,18.0
1,89.99,0.0,3.0,2.0,6.0
1,24.99,0.0,4.7,687.0,3228.9
1,39.99,0.0,4.3,845.0,3633.5
1,72.99,0.0,4.3,87.0,374.09999999999997
1,119.99,0.0,2.2,4.0,8.8
1,109.99,0.0,4.2,181.0,760.2
1,99.99,0.0,4.0,16.0,64.0
1,34.99,0.0,4.5,702.0,3159.0
1,59.99,0.0,4.2,137.0,575.4
1,89.99,0.0,3.0,5.0,15.0
1,89.99,0.0,0.0,706.2771474878444,0.0
1,59.99,0.0,0.0,706.2771474878444,0.0
2,99.99,30.0,4.5,28.0,126.0
2,27.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,20.99,5.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,19.99,5.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,19.99,5.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,439.99,0.8085665334094803,4.3,1957.0,8415.1
2,9.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,14.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,18.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.49,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,17.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,89.99,20.0,4.4,40.0,176.0
2,23.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,4.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,24.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,18.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,54.99,0.0,4.8,33.0,158.4
2,12.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,18.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,18.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,32.99,0.0,5.0,1.0,5.0
2,29.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,13.79,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,23.49,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,19.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,14.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,13.79,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,14.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,34.99,0.0,4.5,1911.0,8599.5
2,39.99,0.0,4.0,138.0,552.0
2,19.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,22.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,49.99,0.0,4.8,1150.0,5520.0
2,14.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,8.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,23.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,12.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,21.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,23.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,15.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,12.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,13.79,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,28.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,27.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,23.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,34.99,0.0,4.7,2340.0,10998.0
2,15.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,12.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,23.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,39.99,5.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,16.49,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
2,549.99,0.0,3.6,15.0,54.0
2,17.49,4.5,3.949852507374631,706.2771474878444,2789.6905619062645
2,25.99,0.0,3.949852507374631,706.2771474878444,2789.6905619062645
